epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,80.3345,0.79401,0.87421,1.08506,0.91869,0.37284,0.45254,0.33631,1.68834,2.35383,1.50769,2.82082e-05,2.82082e-05,2.82082e-05
40,82.2943,0.65172,0.75402,1.06062,0.91869,0.37284,0.45254,0.33631,1.68834,2.35383,1.50769,2.84911e-05,2.84911e-05,2.84911e-05
41,84.2492,0.66917,0.89259,1.01392,0.92243,0.37293,0.45302,0.33708,1.70233,2.38194,1.51445,2.87504e-05,2.87504e-05,2.87504e-05
42,86.1727,0.55007,1.54451,1.04134,0.92243,0.37293,0.45302,0.33708,1.70233,2.38194,1.51445,2.89861e-05,2.89861e-05,2.89861e-05
43,88.1303,1.04954,1.33077,1.32317,0.94064,0.38902,0.45853,0.33979,1.70808,2.38012,1.52041,2.91983e-05,2.91983e-05,2.91983e-05
44,90.1292,0.89362,0.89686,1.32018,0.94064,0.38902,0.45853,0.33979,1.70808,2.38012,1.52041,2.93869e-05,2.93869e-05,2.93869e-05
45,92.2584,0.60574,0.76473,1.00049,0.94161,0.38896,0.45117,0.33259,1.72901,2.41715,1.5279,2.9552e-05,2.9552e-05,2.9552e-05
46,94.3385,0.73075,0.96619,1.16542,0.94161,0.38896,0.45117,0.33259,1.72901,2.41715,1.5279,2.96935e-05,2.96935e-05,2.96935e-05
47,96.5697,0.83456,1.68803,1.2554,0.9419,0.39114,0.44923,0.32391,1.73788,2.42587,1.52016,2.98114e-05,2.98114e-05,2.98114e-05
48,98.6075,0.9193,1.4543,1.26026,0.9419,0.39114,0.44923,0.32391,1.73788,2.42587,1.52016,2.99058e-05,2.99058e-05,2.99058e-05
49,100.678,0.83346,0.91896,1.29588,0.94129,0.39237,0.45128,0.32486,1.75765,2.40609,1.53886,2.99766e-05,2.99766e-05,2.99766e-05
50,102.759,0.68293,1.07423,1.21655,0.94129,0.39237,0.45128,0.32486,1.75765,2.40609,1.53886,3.00238e-05,3.00238e-05,3.00238e-05
51,104.894,0.78921,0.85294,1.14559,0.94217,0.3923,0.45118,0.32465,1.75203,2.4011,1.52927,3.00475e-05,3.00475e-05,3.00475e-05
52,106.976,0.80472,0.86915,1.22175,0.94217,0.3923,0.45118,0.32465,1.75203,2.4011,1.52927,3.00476e-05,3.00476e-05,3.00476e-05
53,109.02,0.64515,0.70421,1.19522,0.94217,0.3923,0.45118,0.32465,1.75203,2.4011,1.52927,3.00242e-05,3.00242e-05,3.00242e-05
54,111.151,0.76848,0.84456,1.23154,0.94371,0.393,0.42259,0.29954,1.75877,2.40883,1.5326,2.99772e-05,2.99772e-05,2.99772e-05
55,113.21,0.69254,0.8996,1.04359,0.94371,0.393,0.42259,0.29954,1.75877,2.40883,1.5326,2.99066e-05,2.99066e-05,2.99066e-05
56,115.23,1.17838,1.64329,1.57195,0.94371,0.393,0.42259,0.29954,1.75877,2.40883,1.5326,2.98125e-05,2.98125e-05,2.98125e-05
57,117.204,1.02893,1.43732,1.36023,0.94573,0.39049,0.42301,0.29153,1.75648,2.42151,1.52602,2.96948e-05,2.96948e-05,2.96948e-05
58,119.182,0.81804,1.38125,1.26722,0.94573,0.39049,0.42301,0.29153,1.75648,2.42151,1.52602,2.95535e-05,2.95535e-05,2.95535e-05
59,121.287,0.75384,0.73312,1.16699,0.94573,0.39049,0.42301,0.29153,1.75648,2.42151,1.52602,2.93887e-05,2.93887e-05,2.93887e-05
60,123.354,0.94427,0.80615,1.48456,0.94505,0.3907,0.42531,0.29167,1.79141,2.44994,1.5579,2.92003e-05,2.92003e-05,2.92003e-05
61,125.403,0.59935,0.69629,1.06477,0.94505,0.3907,0.42531,0.29167,1.79141,2.44994,1.5579,2.89884e-05,2.89884e-05,2.89884e-05
62,127.548,0.71042,0.8738,1.05792,0.94505,0.3907,0.42531,0.29167,1.79141,2.44994,1.5579,2.87529e-05,2.87529e-05,2.87529e-05
63,129.725,0.74477,0.81311,1.1445,0.94546,0.3913,0.42542,0.27555,1.82097,2.47073,1.58857,2.84938e-05,2.84938e-05,2.84938e-05
64,131.671,0.65985,0.69461,1.08337,0.94546,0.3913,0.42542,0.27555,1.82097,2.47073,1.58857,2.82112e-05,2.82112e-05,2.82112e-05
65,133.725,0.58735,0.83489,1.18261,0.94546,0.3913,0.42542,0.27555,1.82097,2.47073,1.58857,2.7905e-05,2.7905e-05,2.7905e-05
66,135.842,0.62769,0.90513,1.07898,0.94508,0.39089,0.42338,0.30836,1.81759,2.47155,1.56701,2.75753e-05,2.75753e-05,2.75753e-05
67,137.802,0.69417,1.03183,1.07289,0.94508,0.39089,0.42338,0.30836,1.81759,2.47155,1.56701,2.7222e-05,2.7222e-05,2.7222e-05
68,139.805,0.94832,1.74,1.34841,0.94508,0.39089,0.42338,0.30836,1.81759,2.47155,1.56701,2.68451e-05,2.68451e-05,2.68451e-05
69,141.907,0.5905,0.99269,1.10443,0.94523,0.39214,0.42213,0.30848,1.8337,2.50124,1.58319,2.64447e-05,2.64447e-05,2.64447e-05
70,143.891,0.8984,0.87431,1.36434,0.94523,0.39214,0.42213,0.30848,1.8337,2.50124,1.58319,2.60207e-05,2.60207e-05,2.60207e-05
71,145.861,0.9926,1.28795,1.37269,0.94523,0.39214,0.42213,0.30848,1.8337,2.50124,1.58319,2.55731e-05,2.55731e-05,2.55731e-05
72,147.815,0.58099,0.59876,1.04211,0.94655,0.39058,0.42193,0.29177,1.84239,2.51819,1.58909,2.5102e-05,2.5102e-05,2.5102e-05
73,149.743,0.66074,0.8873,1.04914,0.94655,0.39058,0.42193,0.29177,1.84239,2.51819,1.58909,2.46073e-05,2.46073e-05,2.46073e-05
74,151.679,0.65255,0.68787,1.15584,0.94655,0.39058,0.42193,0.29177,1.84239,2.51819,1.58909,2.40891e-05,2.40891e-05,2.40891e-05
75,153.639,0.69169,0.57313,1.12405,0.94542,0.3909,0.42227,0.29367,1.82183,2.49532,1.55389,2.35472e-05,2.35472e-05,2.35472e-05
76,155.558,0.57885,0.8482,1.09933,0.94542,0.3909,0.42227,0.29367,1.82183,2.49532,1.55389,2.29819e-05,2.29819e-05,2.29819e-05
77,157.447,0.61535,0.58239,1.07353,0.94542,0.3909,0.42227,0.29367,1.82183,2.49532,1.55389,2.23929e-05,2.23929e-05,2.23929e-05
78,159.384,0.7914,1.08751,1.13848,0.94489,0.3918,0.42249,0.29356,1.81378,2.46828,1.53475,2.17805e-05,2.17805e-05,2.17805e-05
79,161.289,0.58314,0.7171,1.09842,0.94489,0.3918,0.42249,0.29356,1.81378,2.46828,1.53475,2.11444e-05,2.11444e-05,2.11444e-05
80,163.214,0.63809,0.766,1.09449,0.94489,0.3918,0.42249,0.29356,1.81378,2.46828,1.53475,2.04848e-05,2.04848e-05,2.04848e-05
81,165.171,0.50733,0.45908,0.98635,0.94028,0.38958,0.42368,0.29477,1.82763,2.46814,1.5444,1.98016e-05,1.98016e-05,1.98016e-05
82,167.062,0.7352,0.68793,1.14655,0.94028,0.38958,0.42368,0.29477,1.82763,2.46814,1.5444,1.90949e-05,1.90949e-05,1.90949e-05
83,168.959,0.79736,0.78081,1.18891,0.94028,0.38958,0.42368,0.29477,1.82763,2.46814,1.5444,1.83646e-05,1.83646e-05,1.83646e-05
84,170.932,0.57788,0.58855,1.02443,0.93757,0.38859,0.42241,0.2938,1.82656,2.49942,1.54585,1.76107e-05,1.76107e-05,1.76107e-05
85,172.848,0.64416,0.79413,1.16149,0.93757,0.38859,0.42241,0.2938,1.82656,2.49942,1.54585,1.68333e-05,1.68333e-05,1.68333e-05
86,174.762,0.85501,0.83452,1.13106,0.93757,0.38859,0.42241,0.2938,1.82656,2.49942,1.54585,1.60323e-05,1.60323e-05,1.60323e-05
